,Unnamed: 0,Restaurant Name,Number of Stars,City,Country,Price,Cuisine_type_1,Cuisine_type_1.1
801,801,Bougainville,1,Amsterdam, Netherlands,$$$$,Modern Cuisine,
802,802,De Gieser Wildeman,1,Noordeloos, Netherlands,$$$,Creative,
803,803,'t Amsterdammertje,1,Loenen aan de Vecht, Netherlands,$$$,Creative,
804,804,Tante Koosje,1,Loenen aan de Vecht, Netherlands,$$$,Modern French,
805,805,Sabero,2,Roermond, Netherlands,$$$$,, Modern French
806,806,ONE,1,Roermond, Netherlands,$$$$,Creative,
807,807,Aan de Zweth,1,Schipluiden, Netherlands,$$$$,Modern French,
808,808,Rantrée,1,Maastricht, Netherlands,$$$,Modern French,
809,809,Merlet,1,Schoorl, Netherlands,$$$$,Modern Cuisine,
810,810,Bij Jef,1,Den Hoorn, Netherlands,$$$$,Classic Cuisine,
811,811,O&O,1,Sint Willebrord, Netherlands,$$$$,, Asian
812,812,De Moerbei,1,Warmond, Netherlands,$$$,, Market Cuisine
813,813,Graphite by Peter Gast,1,Amsterdam, Netherlands,$$$,Creative,
814,814,De Kas,1,Amsterdam, Netherlands,$$$,Organic,
815,815,Le Restaurant,1,Amsterdam, Netherlands,$$$,Market Cuisine,
816,816,De Burgemeester,1,Linschoten, Netherlands,$$$$,Modern Cuisine,
817,817,'t Nonnetje,2,Harderwijk, Netherlands,$$$$,, Creative
818,818,De Groene Lantaarn,2,Staphorst, Netherlands,$$$$,, Creative
819,819,De Nieuwe Winkel,2,Nijmegen, Netherlands,$$$,, Organic
820,820,Cheval Blanc,1,Heemstede, Netherlands,$$$,Modern Cuisine,
821,821,De Kromme Dissel,1,Heelsum, Netherlands,$$$,, Creative
822,822,Lars Amsterdam,1,Amsterdam, Netherlands,$$$,Modern French,
823,823,Wils,1,Amsterdam, Netherlands,$$$,World Cuisine,
824,824,De Treeswijkhoeve,2,Waalre, Netherlands,$$$$,Creative,
825,825,Derozario,1,Helmond, Netherlands,$$$,, Creative
826,826,Zoldering,1,Amsterdam, Netherlands,$$,Modern French,
827,827,Noor,1,Groningen, Netherlands,$$$$,Creative,
828,828,Eden,1,Valkenswaard, Netherlands,$$$,, Modern Cuisine
829,829,Alma,1,Oisterwijk, Netherlands,$$$,Modern French,
830,830,Marrees,1,Weert, Netherlands,$$$,Modern Cuisine,
831,831,De Juwelier,1,Amsterdam, Netherlands,$$$,Modern French,
832,832,Brut172,2,Reijmerstok, Netherlands,$$$$,Creative,
833,833,'t Ganzenest,1,Rijswijk, Netherlands,$$$,Modern French,
834,834,Vigor,1,Vught, Netherlands,$$$,, Modern Cuisine
835,835,Flore,2,Amsterdam, Netherlands,$$$$,Contemporary,
836,836,Daalder,1,Amsterdam, Netherlands,$$$$,Creative,
837,837,180° by Matthias Diether,1,Tallinn, Estonia,$$$$,, Creative
838,838,NOA Chef’s Hall,1,Tallinn, Estonia,$$$$,Creative,
839,839,Chai Gourmand,1,Beuzet, Belgium,$$$,Modern Cuisine,
840,840,Le Pré des Oréades,1,Spa, Belgium,$$$$,Classic French,
841,841,Vintage,1,Kontich, Belgium,$$$,Modern Cuisine,
842,842,In den Hert,1,Wannegem-Lede, Belgium,$$$,Classic Cuisine,
843,843,Quai n°4,1,Ath, Belgium,$$$,Modern Cuisine,
844,844,Hertog Jan at Botanic,2,Antwerpen, Belgium,$$$$,Creative,
845,845,¡Toma!,1,Liège, Belgium,$$$,Creative,
846,846,Hert,1,Turnhout, Belgium,$$$$,, Modern French
847,847,Colette - De Vijvers,2,Averbode, Belgium,$$$$,Modern French,
848,848,Arden,1,Villers-sur-Lesse, Belgium,$$$,French Contemporary,
849,849,Ryôdô,1,Luxembourg,Luxembourg,$$$$,Japanese,
850,850,JER,1,Hasselt, Belgium,$$$,, Modern Cuisine
851,851,Nathan,1,Antwerpen, Belgium,$$$$,Modern French,
852,852,Arabelle Meirlaen,1,Marchin, Belgium,$$$,, Organic
853,853,L'Air du Temps,2,Liernu, Belgium,$$$$,, Creative
854,854,La Table de Maxime,2,Our, Belgium,$$$$,Modern Cuisine,
855,855,La Villa in the Sky,1,Brussels, Belgium,$$$$,, Creative
856,856,Fani,1,Roeser, Luxembourg,$$$$,Italian,
857,857,Les Pieds dans le Plat,1,Marenne, Belgium,$$$,, Classic Cuisine
858,858,l'Essentiel,1,Temploux, Belgium,$$$,Creative French,
859,859,FRANQ,1,Antwerpen, Belgium,$$$,Modern Cuisine,
860,860,Eyckerhof,1,Bornem, Belgium,$$$,Modern French,
861,861,La Villa Emily,1,Brussels, Belgium,$$$$,Mediterranean Cuisine,
862,862,Slagmolen,2,Opglabbeek, Belgium,$$$$,Traditional Cuisine,
863,863,EssenCiel,1,Leuven, Belgium,$$$$,French Contemporary,
864,864,La Ligne Rouge,1,Plancenoit, Belgium,$$$,Modern French,
865,865,Le Pilori,1,Écaussinnes-Lalaing, Belgium,$$$,Modern French,
866,866,The Jane,2,Antwerpen, Belgium,$$$$,Creative,
867,867,Vol-Ver,1,Marke, Belgium,$$$,Traditional Cuisine,
868,868,Ma Langue Sourit,2,Oetrange, Luxembourg,$$$$,Modern Cuisine,
869,869,Rebelle,1,Marke, Belgium,$$$,Modern Cuisine,
870,870,The Butcher's son,1,Antwerpen, Belgium,$$$,, Traditional Cuisine
871,871,Michel,1,Groot-Bijgaarden, Belgium,$$$,Modern French,
872,872,'t Fornuis,1,Antwerpen, Belgium,$$$$,Classic Cuisine,
873,873,OAK,1,Gent, Belgium,$$$$,, World Cuisine
874,874,Mosconi,1,Luxembourg,Luxembourg,$$$$,Italian,
875,875,Aux petits oignons,1,Jodoigne, Belgium,$$$,, Modern Cuisine
876,876,La Durée,2,Izegem, Belgium,$$$$,, Creative
877,877,Héliport Brasserie,1,Liège, Belgium,$$$,Creative French,
878,878,Arenberg,1,Heverlee, Belgium,$$$,Classic Cuisine,
879,879,Magis,1,Tongeren, Belgium,$$$,Modern Cuisine,
880,880,Cuchara,2,Lommel, Belgium,$$$$,, Creative
881,881,Couvert Couvert,1,Heverlee, Belgium,$$$$,, Creative
882,882,Het Gebaar,1,Antwerpen, Belgium,$$$$,Creative,
883,883,San Daniele,1,Ganshoren, Belgium,$$$$,Italian,
884,884,'t Overhamme,1,Aalst, Belgium,$$$,Modern Cuisine,
885,885,Innesto,1,Zonhoven, Belgium,$$$,Creative,
886,886,Castor,2,Beveren-Leie, Belgium,$$$$,Modern French,
887,887,Kelderman,1,Aalst, Belgium,$$$$,, Traditional Cuisine
888,888,Hof Ter Hulst,1,Hulshout, Belgium,$$$,Classic Cuisine,
889,889,Souvenir,1,Gent, Belgium,$$$,, Creative
890,890,Publiek,1,Gent, Belgium,$$$,Modern Cuisine,
891,891,La Distillerie,1,Bourglinster, Luxembourg,$$$$,Creative,
892,892,Altermezzo,1,Tongeren, Belgium,$$$$,Creative,
893,893,Ogst,1,Hasselt, Belgium,$$$,Modern French,
894,894,Da Mimmo,1,Woluwe-Saint-Lambert, Belgium,$$$$,Italian,
895,895,Melchior,1,Tienen, Belgium,$$$,Creative French,
896,896,Hofke van Bazel,1,Bazel, Belgium,$$$$,, Market Cuisine
897,897,senzanome,1,Brussels, Belgium,$$$$,, Italian
898,898,Philippe Meyers,1,Braine-l'Alleud, Belgium,$$$,Modern French,
899,899,Bistro Racine,1,Braine-le-Château, Belgium,$$,Modern Cuisine,
900,900,De Kristalijn,1,Genk, Belgium,$$$$,Modern Cuisine,
901,901,EED,1,Leuven, Belgium,$$$$,Modern Cuisine,
902,902,De Pastorie,1,Lichtaart, Belgium,$$$$,Modern Cuisine,
903,903,'t Stoveke,1,Strombeek-Bever, Belgium,$$$,Modern Cuisine,
904,904,Les Gourmands,1,Blaregnies, Belgium,$$$,Classic Cuisine,
905,905,Vrijmoed,2,Gent, Belgium,$$$$,, Creative
906,906,Horseele,1,Gent, Belgium,$$$$,Creative French,
907,907,De Mijlpaal,1,Tongeren, Belgium,$$$,Creative,
908,908,Léa Linster,1,Frisange, Luxembourg,$$$$,Modern French,
909,909,Maison Marit,1,Braine-l'Alleud, Belgium,$$$,Classic French,
910,910,d'Eugénie à Emilie,2,Baudour, Belgium,$$$$,, Classic French
911,911,Goffin,1,Sint-Kruis, Belgium,$$$,Modern Cuisine,
912,912,De Jonkman,2,Sint-Kruis, Belgium,$$$$,Creative,
913,913,Sir Kwinten,1,Sint-Kwintens-Lennik, Belgium,$$$,Modern Cuisine,
914,914,Centpourcent,1,Sint-Katelijne-Waver, Belgium,$$$,Modern Cuisine,
915,915,Hof van Cleve,3,Kruishoutem, Belgium,$$$$,Creative,
916,916,Le Château de Strainchamps,1,Fauvillers, Belgium,$$$,Modern French,
917,917,Comme chez Soi,1,Brussels, Belgium,$$$$,Classic Cuisine,
918,918,Hostellerie St-Nicolas,1,Elverdinge, Belgium,$$$$,Creative,
919,919,Hostellerie Le Prieuré Saint-Géry,1,Solre-Saint-Géry, Belgium,$$$,Creative,
920,920,Le Coq aux Champs,1,Soheit-Tinlot, Belgium,$$$,Creative French,
921,921,Hostellerie Vivendum,1,Dilsen, Belgium,$$$,, Modern Cuisine
922,922,Marcus,1,Deerlijk, Belgium,$$$,Creative,
923,923,Carcasse,1,Sint-Idesbald, Belgium,$$$$,Meats and Grills,
924,924,Sel Gris,1,Knokke, Belgium,$$$$,Creative,
925,925,L'Envie,1,Sint-Denijs, Belgium,$$$,Modern French,
926,926,Nuance,2,Duffel, Belgium,$$$$,Creative,
927,927,La Belle,1,Geel, Belgium,$$$,Creative French,
928,928,Le Cor de Chasse,1,Wéris, Belgium,$$$,Creative,
929,929,Hostellerie Gilain,1,Sorinnes, Belgium,$$$,Modern French,
930,930,Le Chalet de la Forêt,2,Uccle, Belgium,$$$$,Creative,
931,931,Le Pigeon Noir,1,Uccle, Belgium,$$$,, Country cooking
932,932,L'Eau Vive,2,Arbre, Belgium,$$$$,, Modern French
933,933,Brasserie Julie,1,Sint-Martens-Bodegem, Belgium,$$$,, Home Cooking
934,934,Bozar Restaurant,1,Brussels, Belgium,$$$$,, Modern French
935,935,Boo Raan,1,Knokke, Belgium,$$,, Thai
936,936,Pastorale,2,Reet, Belgium,$$$$,Creative,
937,937,Château du Mylord,2,Ellezelles, Belgium,$$$$,Contemporary,
938,938,M-Bistro,1,Nieuwpoort, Belgium,$$$,Modern Cuisine,
939,939,De Zuidkant,1,Damme, Belgium,$$$,Modern Cuisine,
940,940,Kommilfoo,1,Antwerpen, Belgium,$$$,Creative,
941,941,Boury,3,Roeselare, Belgium,$$$$,Creative French,
942,942,La Paix,2,Anderlecht, Belgium,$$$$,, Asian Influences
943,943,Fleur de Lin,1,Zele, Belgium,$$$,Modern Cuisine,
944,944,Le Gastronome,1,Paliseul, Belgium,$$$,, Contemporary
945,945,Au Gré du Vent,1,Seneffe, Belgium,$$$,Market Cuisine,
946,946,Hostellerie Le Fox,2,De Panne, Belgium,$$$$,Creative French,
947,947,Le Comptoir de Marie,1,Mons, Belgium,$$$,Spanish,
948,948,Guillou Campagne,1,Schouweiler, Luxembourg,$$$,Classic French,
949,949,Philippe Fauchet,1,Saint-Georges-sur-Meuse, Belgium,$$$$,Creative,
950,950,Wine in the City,1,Jette, Belgium,$$$$,, Creative
951,951,Zur Post,1,Saint Vith, Belgium,$$$,Modern Cuisine,
952,952,Bistrot du Nord,1,Antwerpen, Belgium,$$$,Traditional Cuisine,
